code;omschrijving
0000;Onbekend
0001;Adorp
0002;Aduard
0003;Appingedam
0004;Baflo
0005;Bedum
0006;Beerta
0007;Bellingwedde
0008;Bierum
0009;Ten Boer
0010;Delfzijl
0011;Eenrum
0012;Ezinge
0013;Finsterwolde
0014;Groningen
0015;Grootegast
0016;Grijpskerk
0017;Haren
0018;Hoogezand-Sappemeer
0019;Hefshuizen
0020;Kantens
0021;Kloosterburen
0022;Leek
0023;Leens
0024;Loppersum
0025;Marum
0026;Meeden
0027;Middelstum
0028;Midwolda
0029;Muntendam
0030;Nieuwe Pekela
0031;Nieuweschans
0032;Nieuwolda
0033;Oosterbroek
0034;Almere
0035;Oldehove
0036;Oldekerk
0037;Stadskanaal
0038;Oude Pekela
0039;Scheemda
0040;Slochteren
0041;Stedum
0042;Termunten
0043;Uithuizen
0044;Uithuizermeeden
0045;Ulrum
0046;Usquert
0047;Veendam
0048;Vlagtwedde
0049;Warffum
0050;Zeewolde
0051;Skarsterlân
0052;Winschoten
0053;Winsum
0054;'t Zandt
0055;Boarnsterhim
0056;Zuidhorn
0057;Boornsterhem
0058;Dongeradeel
0059;Achtkarspelen
0060;Ameland
0061;Baarderadeel
0062;Barradeel
0063;het Bildt
0064;Bolsward
0065;Dantumadeel
0066;Dokkum
0067;Doniawerstal
0068;Ferwerderadeel
0069;Franeker
0070;Franekeradeel
0071;Gaasterland
0072;Harlingen
0073;Haskerland
0074;Heerenveen
0075;Hemelumer Oldeferd
0076;Hennaarderadeel
0077;Hindeloopen
0078;Idaarderadeel
0079;Kollumerland en Nieuwkruisland
0080;Leeuwarden
0081;Leeuwarderadeel
0082;Lemsterland
0083;Menaldumadeel
0084;Oostdongeradeel
0085;Ooststellingwerf
0086;Opsterland
0087;Rauwerderhem
0088;Schiermonnikoog
0089;Sloten (F)
0090;Smallingerland
0091;Sneek
0092;Stavoren
0093;Terschelling
0094;Tietjerksteradeel
0095;Utingeradeel
0096;Vlieland
0097;Westdongeradeel
0098;Weststellingwerf
0099;Wonseradeel
0100;Workum
0101;Wymbritseradeel
0102;IJlst
0103;Littenseradeel
0104;Nijefurd
0105;Anloo
0106;Assen
0107;Beilen
0108;Borger
0109;Coevorden
0110;Dalen
0111;Diever
0112;Dwingeloo
0113;Eelde
0114;Emmen
0115;Gasselte
0116;Gieten
0117;Havelte
0118;Hoogeveen
0119;Meppel
0120;Norg
0121;Nijeveen
0122;Odoorn
0123;Oosterhesselen
0124;Peize
0125;Roden
0126;Rolde
0127;Ruinen
0128;Ruinerwold
0129;Schoonebeek
0130;Sleen
0131;Smilde
0132;Vledder
0133;Vries
0134;Westerbork
0135;de Wijk
0136;Zuidlaren
0137;Zuidwolde
0138;Zweeloo
0139;Scharsterland
0140;Littenseradiel
0141;Almelo
0142;Ambt Delden
0143;Avereest
0144;Bathmen
0145;Blankenham
0146;Blokzijl
0147;Borne
0148;Dalfsen
0149;Denekamp
0150;Deventer
0151;Diepenheim
0152;Diepenveen
0153;Enschede
0154;Genemuiden
0155;Giethoorn
0156;Goor
0157;Gramsbergen
0158;Haaksbergen
0159;Den Ham
0160;Hardenberg
0161;Hasselt
0162;Heino
0163;Hellendoorn
0164;Hengelo (O)
0165;Holten
0166;Kampen
0167;Kuinre
0168;Losser
0169;Markelo
0170;Nieuwleusen
0171;Noordoostpolder
0172;Oldemarkt
0173;Oldenzaal
0174;Olst
0175;Ommen
0176;Ootmarsum
0177;Raalte
0178;Rijssen
0179;Stad Delden
0180;Staphorst
0181;Steenwijk
0182;Steenwijkerwold
0183;Tubbergen
0184;Urk
0185;Vollenhove
0186;Vriezenveen
0187;Wanneperveen
0188;Weerselo
0189;Wierden
0190;Wijhe
0191;IJsselmuiden
0192;Zwartsluis
0193;Zwolle
0194;Brederwiede
0195;IJsselham
0196;Rijnwaarden
0197;Aalten
0198;Ammerzoden
0199;Angerlo
0200;Apeldoorn
0201;Appeltern
0202;Arnhem
0203;Barneveld
0204;Batenburg
0205;Beesd
0206;Bemmel
0207;Bergh
0208;Bergharen
0209;Beuningen
0210;Beusichem
0211;Borculo
0212;Brakel
0213;Brummen
0214;Buren
0215;Buurmalsen
0216;Culemborg
0217;Deil
0218;Didam
0219;Dinxperlo
0220;Dodewaard
0221;Doesburg
0222;Doetinchem
0223;Doornspijk
0224;Dreumel
0225;Druten
0226;Duiven
0227;Echteld
0228;Ede
0229;Eibergen
0230;Elburg
0231;Elst
0232;Epe
0233;Ermelo
0234;Est en Opijnen
0235;Ewijk
0236;Geldermalsen
0237;Gendringen
0238;Gendt
0239;Gorssel
0240;Groenlo
0241;Groesbeek
0242;Haaften
0243;Harderwijk
0244;Hattem
0245;Hedel
0246;Heerde
0247;Heerewaarden
0248;Hengelo (Gld)
0249;Herwen en Aerdt
0250;Herwijnen
0251;Heteren
0252;Heumen
0253;Hoevelaken
0254;Horssen
0255;Huissen
0256;Hummelo en Keppel
0257;Kerkwijk
0258;Kesteren
0259;Laren (Gld)
0260;Lichtenvoorde
0261;Lienden
0262;Lochem
0263;Maasdriel
0264;Maurik
0265;Millingen aan de Rijn
0266;Neede
0267;Nijkerk
0268;Nijmegen
0269;Oldebroek
0270;Ophemert
0271;Overasselt
0272;Pannerden
0273;Putten
0274;Renkum
0275;Rheden
0276;Rossum
0277;Rozendaal
0278;Ruurlo
0279;Scherpenzeel
0280;Steenderen
0281;Tiel
0282;Ubbergen
0283;Valburg
0284;Varik
0285;Voorst
0286;Vorden
0287;Vuren
0288;Waardenburg
0289;Wageningen
0290;Wamel
0291;Warnsveld
0292;Wehl
0293;Westervoort
0294;Winterswijk
0295;Wisch
0296;Wijchen
0297;Zaltbommel
0298;Zelhem
0299;Zevenaar
0300;Zoelen
0301;Zutphen
0302;Nunspeet
0303;Dronten
0304;Neerijnen
0305;Abcoude
0306;Amerongen
0307;Amersfoort
0308;Baarn
0309;Benschop
0310;De Bilt
0311;Breukelen
0312;Bunnik
0313;Bunschoten
0314;Cothen
0315;Doorn
0316;Driebergen-Rijsenburg
0317;Eemnes
0318;Harmelen
0319;Hoenkoop
0320;Hoogland
0321;Houten
0322;Jutphaas
0323;Kamerik
0324;Kockengen
0325;Langbroek
0326;Leersum
0327;Leusden
0328;Linschoten
0329;Loenen
0330;Loosdrecht
0331;Lopik
0332;Maarn
0333;Maarssen
0334;Maartensdijk
0335;Montfoort
0336;Mijdrecht
0337;Nigtevecht
0338;Polsbroek
0339;Renswoude
0340;Rhenen
0341;Snelrewaard
0342;Soest
0343;Stoutenburg
0344;Utrecht
0345;Veenendaal
0346;Vinkeveen en Waverveen
0347;Vleuten-De Meern
0348;Vreeswijk
0349;Willeskop
0350;Wilnis
0351;Woudenberg
0352;Wijk bij Duurstede
0353;IJsselstein
0354;Zegveld
0355;Zeist
0356;Nieuwegein
0357;Egmond
0358;Aalsmeer
0359;Abbekerk
0360;Akersloot
0361;Alkmaar
0362;Amstelveen
0363;Amsterdam
0364;Andijk
0365;Graft-De Rijp
0366;Anna Paulowna
0367;Assendelft
0368;Avenhorn
0369;Barsingerhorn
0370;Beemster
0371;Beets
0372;Bennebroek
0373;Bergen (NH)
0374;Berkhout
0375;Beverwijk
0376;Blaricum
0377;Bloemendaal
0378;Blokker
0379;Bovenkarspel
0380;Broek in Waterland
0381;Bussum
0382;Callantsoog
0383;Castricum
0384;Diemen
0385;Edam-Volendam
0386;Egmond aan Zee
0387;Egmond-Binnen
0388;Enkhuizen
0389;Graft
0390;'s-Graveland
0391;Grootebroek
0392;Haarlem
0393;Haarlemmerliede en Spaarnwoude
0394;Haarlemmermeer
0395;Harenkarspel
0396;Heemskerk
0397;Heemstede
0398;Heerhugowaard
0399;Heiloo
0400;Den Helder
0401;Hensbroek
0402;Hilversum
0403;Hoogkarspel
0404;Hoogwoud
0405;Hoorn
0406;Huizen
0407;Ilpendam
0408;Jisp
0409;Katwoude
0410;Koedijk
0411;Koog aan de Zaan
0412;Niedorp
0413;Krommenie
0414;Kwadijk
0415;Landsmeer
0416;Langedijk
0417;Laren
0418;Limmen
0419;Marken
0420;Medemblik
0421;Middelie
0422;Midwoud
0423;Monnickendam
0424;Muiden
0425;Naarden
0426;Nederhorst den Berg
0427;Nibbixwoud
0428;Nieuwe Niedorp
0429;Obdam
0430;Oosthuizen
0431;Oostzaan
0432;Opmeer
0433;Opperdoes
0434;Oterleek
0435;Oudendijk
0436;Oude Niedorp
0437;Ouder-Amstel
0438;Oudorp
0439;Purmerend
0440;De Rijp
0441;Schagen
0442;Schellinkhout
0443;Schermerhorn
0444;Schoorl
0445;Sint Maarten
0446;Sint Pancras
0447;Sijbekarspel
0448;Texel
0449;Twisk
0450;Uitgeest
0451;Uithoorn
0452;Ursem
0453;Velsen
0454;Venhuizen
0455;Warder
0456;Warmenhuizen
0457;Weesp
0458;Schermer
0459;Wervershoof
0460;Westwoud
0461;Westzaan
0462;Wieringen
0463;Wieringermeer
0464;Wieringerwaard
0465;Winkel
0466;Wognum
0467;Wormer
0468;Wormerveer
0469;Wijdenes
0470;Wijdewormer
0471;Zaandam
0472;Zaandijk
0473;Zandvoort
0474;Zuid- en Noord-Schermer
0475;Zwaag
0476;Zijpe
0477;Albrandswaard (oud)
0478;Zeevang
0479;Zaanstad
0480;Ter Aar
0481;Abbenbroek
0482;Alblasserdam
0483;Alkemade
0484;Alphen aan den Rijn
0485;Ameide
0486;Ammerstol
0487;Arkel
0488;Asperen
0489;Barendrecht
0490;Benthuizen
0491;Bergambacht
0492;Bergschenhoek
0493;Berkel en Rodenrijs
0494;Berkenwoude
0495;Bleiswijk
0496;Bleskensgraaf en Hofwegen
0497;Bodegraven
0498;Drechterland
0499;Boskoop
0500;Brandwijk
0501;Brielle
0502;Capelle aan den IJssel
0503;Delft
0504;Dirksland
0505;Dordrecht
0506;Driebruggen
0507;Dubbeldam
0508;Everdingen
0509;Geervliet
0510;Giessenburg
0511;Goedereede
0512;Gorinchem
0513;Gouda
0514;Gouderak
0515;Goudriaan
0516;Goudswaard
0517;'s-Gravendeel
0518;'s-Gravenhage
0519;'s-Gravenzande
0520;Groot-Ammers
0521;Haastrecht
0522;Hagestein
0523;Hardinxveld-Giessendam
0524;Hazerswoude
0525;Heenvliet
0526;Heerjansdam
0527;Hei- en Boeicop
0528;Heinenoord
0529;Noorder-Koggenland
0530;Hellevoetsluis
0531;Hendrik-Ido-Ambacht
0532;Stede Broec
0533;Heukelum
0534;Hillegom
0535;Hoogblokland
0536;Hoornaar
0537;Katwijk
0538;Kedichem
0539;Klaaswaal
0540;Koudekerk aan den Rijn
0541;Krimpen aan de Lek
0542;Krimpen aan den IJssel
0543;Langerak
0544;Leerbroek
0545;Leerdam
0546;Leiden
0547;Leiderdorp
0548;Leidschendam
0549;Leimuiden
0550;Lekkerkerk
0551;Lexmond
0552;De Lier
0553;Lisse
0554;Maasdam
0555;Maasland
0556;Maassluis
0557;Meerkerk
0558;Wester-Koggenland
0559;Middelharnis
0560;Moerkapelle
0561;Molenaarsgraaf
0562;Monster
0563;Moordrecht
0564;Mijnsheerenland
0565;Naaldwijk
0566;Nieuw-Beijerland
0567;Nieuwerkerk aan den IJssel
0568;Bernisse
0569;Nieuwkoop
0570;Nieuwland
0571;Nieuw-Lekkerland
0572;Nieuwpoort
0573;Nieuwveen
0574;Noordeloos
0575;Noordwijk
0576;Noordwijkerhout
0577;Nootdorp
0578;Numansdorp
0579;Oegstgeest
0580;Oostflakkee
0581;Oostvoorne
0582;Ottoland
0583;Oud-Alblas
0584;Oud-Beijerland
0585;Binnenmaas
0586;Oudenhoorn
0587;Ouderkerk aan den IJssel
0588;Korendijk
0589;Oudewater
0590;Papendrecht
0591;Piershil
0592;Poortugaal
0593;Puttershoek
0594;Pijnacker
0595;Reeuwijk
0596;Rhoon
0597;Ridderkerk
0598;Rockanje
0599;Rotterdam
0600;Rozenburg
0601;Rijnsaterwoude
0602;Rijnsburg
0603;Rijswijk
0604;Sassenheim
0605;Schelluinen
0606;Schiedam
0607;Schipluiden
0608;Schoonhoven
0609;Schoonrewoerd
0610;Sliedrecht
0611;Cromstrijen
0612;Spijkenisse
0613;Albrandswaard
0614;Westvoorne
0615;Stolwijk
0616;Streefkerk
0617;Strijen
0618;Tienhoven (ZH)
0619;Valkenburg (ZH)
0620;Vianen
0621;Vierpolders
0622;Vlaardingen
0623;Vlist
0624;Voorburg
0625;Voorhout
0626;Voorschoten
0627;Waddinxveen
0628;Warmond
0629;Wassenaar
0630;Wateringen
0631;Westmaas
0632;Woerden
0633;Woubrugge
0634;Wijngaarden
0635;Zevenhoven
0636;Zevenhuizen
0637;Zoetermeer
0638;Zoeterwoude
0639;Zuid-Beijerland
0640;Zuidland
0641;Zwartewaal
0642;Zwijndrecht
0643;Nederlek
0644;Ouderkerk
0645;Jacobswoude
0646;Rijneveld
0647;Moerhuizen
0648;Aardenburg
0649;Arnemuiden
0650;Axel
0651;Baarland
0652;Biervliet
0653;Gaasterlân-Sleat
0654;Borsele
0655;Breskens
0656;Brouwershaven
0657;Bruinisse
0658;Cadzand
0659;Clinge
0660;Domburg
0661;Driewegen
0662;Duiveland
0663;Ellewoutsdijk
0664;Goes
0665;Graauw en Langendam
0666;'s-Gravenpolder
0667;Groede
0668;West Maas en Waal
0669;'s Heer Abtskerke
0670;'s-Heer Arendskerke
0671;'s-Heerenhoek
0672;Heinkenszand
0673;Hoedekenskerke
0674;Hoek
0675;Hontenisse
0676;Hoofdplaat
0677;Hulst
0678;Kapelle
0679;Kattendijke
0680;Kloetinge
0681;Koewacht
0682;Kortgene
0683;Wymbritseradiel
0684;Krabbendijke
0685;Kruiningen
0686;Mariekerke
0687;Middelburg
0688;Middenschouwen
0689;Giessenlanden
0690;Nieuwvliet
0691;Nisse
0692;Oostburg
0693;Graafstroom
0694;Liesveld
0695;Oudelande
0696;Oud-Vossemeer
0697;Overslag
0698;Ovezande
0699;Philippine
0700;Poortvliet
0701;Retranchement
0702;Rilland-Bath
0703;Reimerswaal
0704;Sas van Gent
0705;Scherpenisse
0706;Schoondijke
0707;Zederik
0708;Sint-Annaland
0709;St. Jansteen
0710;Wûnseradiel
0711;Sint-Maartensdijk
0712;Sint Philipsland
0713;Sluis (oud)
0714;Stavenisse
0715;Terneuzen
0716;Tholen
0717;Veere
0718;Vlissingen
0719;Vogelwaarde
0720;Valkenisse
0721;Waarde
0722;Waterlandkerkje
0723;Wemeldinge
0724;Westdorpe
0725;Westerschouwen
0726;Westkapelle
0727;Wissenkerke
0728;Wolphaartsdijk
0729;Yerseke
0730;IJzendijke
0731;Zaamslag
0732;Zierikzee
0733;Lingewaal
0734;Zuiddorpe
0735;Zuidzande
0736;De Ronde Venen
0737;Tytsjerksteradiel
0738;Aalburg
0739;Aarle-Rixtel
0740;Almkerk
0741;Alphen en Riel
0742;Andel
0743;Asten
0744;Baarle-Nassau
0745;Bakel en Milheeze
0746;Beek en Donk
0747;Beers
0748;Bergen op Zoom
0749;Bergeyk
0750;Berghem
0751;Berkel-Enschot
0752;Berlicum
0753;Best
0754;Bladel en Netersel
0755;Boekel
0756;Boxmeer
0757;Boxtel
0758;Breda
0759;Budel
0760;Chaam
0761;Cuijk en Sint Agatha
0762;Deurne
0763;Diessen
0764;Dinteloord en Prinsenland
0765;Pekela
0766;Dongen
0767;Drunen
0768;Den Dungen
0769;Dussen
0770;Eersel
0771;Eethen
0772;Eindhoven
0773;Empel en Meerwijk
0774;Engelen
0775;Erp
0776;Esch
0777;Etten-Leur
0778;Fijnaart en Heijningen
0779;Geertruidenberg
0780;Geffen
0781;Geldrop
0782;Gemert
0783;Giessen
0784;Gilze en Rijen
0785;Goirle
0786;Grave
0787;'s Gravenmoer
0788;Haaren
0789;Halsteren
0790;Haps
0791;Heesch
0792;Heeswijk-Dinther
0793;Heeze
0794;Helmond
0795;Helvoirt
0796;'s-Hertogenbosch
0797;Heusden
0798;Hilvarenbeek
0799;Hoeven
0800;Hoogeloon, Hapert en Casteren
0801;Hooge en Lage Mierde
0802;Hooge en Lage Zwaluwe
0803;Huijbergen
0804;Klundert
0805;Leende
0806;Liempde
0807;Lieshout
0808;Lith
